Algorithm,ArrayType,Size,AvgTime(us),AvgComparisons,Iterations
QuickSort,Random,2400,280.556,43407,5
MergeSort,Random,2400,1865.7,33966,5
QuickSort,Reverse,2400,207.867,34205,5
MergeSort,Reverse,2400,1645.67,20175,5
QuickSort,NearlySorted,2400,181.693,40505,5
MergeSort,NearlySorted,2400,1726.5,31877,5
QuickSort,Prefix,2400,718.803,1523653,5
MergeSort,Prefix,2400,2235.02,1232975,5
StringQuickSort,Random,2400,246.064,29568,5
StringMergeSort,Random,2400,2200.12,53917,5
MSDRadixSort,Random,2400,753.84,0,5
MSDRadixSort+QS,Random,2400,415.178,12073,5
StringQuickSort,Reverse,2400,142.093,23459,5
StringMergeSort,Reverse,2400,1925.73,58153,5
MSDRadixSort,Reverse,2400,752.072,0,5
MSDRadixSort+QS,Reverse,2400,289.408,10491,5
StringQuickSort,NearlySorted,2400,165.226,24031,5
StringMergeSort,NearlySorted,2400,1953.09,58606,5
MSDRadixSort,NearlySorted,2400,719.245,0,5
MSDRadixSort+QS,NearlySorted,2400,305.075,10820,5
StringQuickSort,Prefix,2400,454.971,147537,5
StringMergeSort,Prefix,2400,4071.24,1289000,5
MSDRadixSort,Prefix,2400,3655.4,0,5
MSDRadixSort+QS,Prefix,2400,3401.63,12290,5
QuickSort,Random,2500,283.219,46023,5
MergeSort,Random,2500,2018.97,35664,5
QuickSort,Reverse,2500,156.883,35734,5
MergeSort,Reverse,2500,1728.45,21217,5
QuickSort,NearlySorted,2500,186.101,41537,5
MergeSort,NearlySorted,2500,1787.79,33613,5
QuickSort,Prefix,2500,744.985,1610320,5
MergeSort,Prefix,2500,2319.47,1293637,5
StringQuickSort,Random,2500,257.237,30321,5
StringMergeSort,Random,2500,2114.49,56589,5
MSDRadixSort,Random,2500,719.644,0,5
MSDRadixSort+QS,Random,2500,358.07,12889,5
StringQuickSort,Reverse,2500,150.637,24627,5
StringMergeSort,Reverse,2500,1930.58,61043,5
MSDRadixSort,Reverse,2500,776.578,0,5
MSDRadixSort+QS,Reverse,2500,300.291,10936,5
StringQuickSort,NearlySorted,2500,168.659,24829,5
StringMergeSort,NearlySorted,2500,2056.19,61576,5
MSDRadixSort,NearlySorted,2500,760.029,0,5
MSDRadixSort+QS,NearlySorted,2500,334.254,11280,5
StringQuickSort,Prefix,2500,479.212,154960,5
StringMergeSort,Prefix,2500,4199.29,1351723,5
MSDRadixSort,Prefix,2500,3766.03,0,5
MSDRadixSort+QS,Prefix,2500,3496.84,12786,5
QuickSort,Random,2600,302.292,44957,5
MergeSort,Random,2600,2110.13,37443,5
QuickSort,Reverse,2600,224.917,37680,5
MergeSort,Reverse,2600,1830.55,22063,5
QuickSort,NearlySorted,2600,203.928,43858,5
MergeSort,NearlySorted,2600,1918.22,35667,5
QuickSort,Prefix,2600,776.466,1618735,5
MergeSort,Prefix,2600,2432.69,1348408,5
StringQuickSort,Random,2600,268.654,30877,5
StringMergeSort,Random,2600,2256.35,59348,5
MSDRadixSort,Random,2600,764.421,0,5
MSDRadixSort+QS,Random,2600,372.19,13439,5
StringQuickSort,Reverse,2600,154.678,25628,5
StringMergeSort,Reverse,2600,2081.29,63895,5
MSDRadixSort,Reverse,2600,815.421,0,5
MSDRadixSort+QS,Reverse,2600,313.521,11376,5
StringQuickSort,NearlySorted,2600,182.977,26898,5
StringMergeSort,NearlySorted,2600,2164.74,64734,5
MSDRadixSort,NearlySorted,2600,787.061,0,5
MSDRadixSort+QS,NearlySorted,2600,337.247,11812,5
StringQuickSort,Prefix,2600,517.393,161991,5
StringMergeSort,Prefix,2600,4524.71,1414407,5
MSDRadixSort,Prefix,2600,3980.07,0,5
MSDRadixSort+QS,Prefix,2600,3675.37,13227,5
QuickSort,Random,2700,309.522,46984,5
MergeSort,Random,2700,2178.03,39206,5
QuickSort,Reverse,2700,171.674,39242,5
MergeSort,Reverse,2700,1906.96,22790,5
QuickSort,NearlySorted,2700,210.426,45782,5
MergeSort,NearlySorted,2700,1967.85,36856,5
QuickSort,Prefix,2700,811.748,1743042,5
MergeSort,Prefix,2700,2583.65,1410354,5
StringQuickSort,Random,2700,284.443,32620,5
StringMergeSort,Random,2700,2392.01,62102,5
MSDRadixSort,Random,2700,798.827,0,5
MSDRadixSort+QS,Random,2700,396.723,14579,5
StringQuickSort,Reverse,2700,165.924,26796,5
StringMergeSort,Reverse,2700,2112.49,66586,5
MSDRadixSort,Reverse,2700,846.786,0,5
MSDRadixSort+QS,Reverse,2700,329.471,11790,5
StringQuickSort,NearlySorted,2700,192.433,27486,5
StringMergeSort,NearlySorted,2700,2180.73,67521,5
MSDRadixSort,NearlySorted,2700,814.889,0,5
MSDRadixSort+QS,NearlySorted,2700,353.862,12350,5
StringQuickSort,Prefix,2700,524.925,167155,5
StringMergeSort,Prefix,2700,4567,1477159,5
MSDRadixSort,Prefix,2700,4208.53,0,5
MSDRadixSort+QS,Prefix,2700,3873.92,14118,5
QuickSort,Random,2800,325.718,48958,5
MergeSort,Random,2800,2210.56,40886,5
QuickSort,Reverse,2800,179.753,40739,5
MergeSort,Reverse,2800,1962.8,23710,5
QuickSort,NearlySorted,2800,228.153,48717,5
MergeSort,NearlySorted,2800,2012.59,38771,5
QuickSort,Prefix,2800,872.483,1806674,5
MergeSort,Prefix,2800,2649.33,1470524,5
StringQuickSort,Random,2800,290.949,33345,5
StringMergeSort,Random,2800,2547.54,64787,5
MSDRadixSort,Random,2800,838.042,0,5
MSDRadixSort+QS,Random,2800,408.952,15452,5
StringQuickSort,Reverse,2800,172.185,28004,5
StringMergeSort,Reverse,2800,2207.7,69389,5
MSDRadixSort,Reverse,2800,869.52,0,5
MSDRadixSort+QS,Reverse,2800,345.697,12219,5
StringQuickSort,NearlySorted,2800,193.992,28533,5
StringMergeSort,NearlySorted,2800,2270.95,70597,5
MSDRadixSort,NearlySorted,2800,848.084,0,5
MSDRadixSort+QS,NearlySorted,2800,363.963,12851,5
StringQuickSort,Prefix,2800,538.54,172356,5
StringMergeSort,Prefix,2800,4965.77,1539905,5
MSDRadixSort,Prefix,2800,4393.74,0,5
MSDRadixSort+QS,Prefix,2800,3983.48,14941,5
QuickSort,Random,2900,346.917,51912,5
MergeSort,Random,2900,2311.16,42758,5
QuickSort,Reverse,2900,187.215,42425,5
MergeSort,Reverse,2900,2054.94,24805,5
QuickSort,NearlySorted,2900,246.483,51826,5
MergeSort,NearlySorted,2900,2094.2,39875,5
QuickSort,Prefix,2900,965.754,2096458,5
MergeSort,Prefix,2900,2762.34,1531740,5
StringQuickSort,Random,2900,302.647,33926,5
StringMergeSort,Random,2900,2605.68,67597,5
MSDRadixSort,Random,2900,896.45,0,5
MSDRadixSort+QS,Random,2900,424.379,15574,5
StringQuickSort,Reverse,2900,177.609,29147,5
StringMergeSort,Reverse,2900,2274.99,72279,5
MSDRadixSort,Reverse,2900,913.046,0,5
MSDRadixSort+QS,Reverse,2900,350.416,12667,5
StringQuickSort,NearlySorted,2900,202.221,29932,5
StringMergeSort,NearlySorted,2900,2380.89,73395,5
MSDRadixSort,NearlySorted,2900,873.723,0,5
MSDRadixSort+QS,NearlySorted,2900,370.647,13430,5
StringQuickSort,Prefix,2900,591.829,183800,5
StringMergeSort,Prefix,2900,4921.39,1602614,5
MSDRadixSort,Prefix,2900,4563.64,0,5
MSDRadixSort+QS,Prefix,2900,4104.07,15658,5
QuickSort,Random,3000,357.747,55352,5
MergeSort,Random,3000,2380.71,44472,5
QuickSort,Reverse,3000,190.649,44012,5
MergeSort,Reverse,3000,2137.74,25784,5
QuickSort,NearlySorted,3000,247.24,52976,5
MergeSort,NearlySorted,3000,2177.45,41052,5
QuickSort,Prefix,3000,911.848,1943458,5
MergeSort,Prefix,3000,2826.01,1592545,5
StringQuickSort,Random,3000,306.44,35441,5
StringMergeSort,Random,3000,2657.47,70315,5
MSDRadixSort,Random,3000,915.032,0,5
MSDRadixSort+QS,Random,3000,453.597,16487,5
StringQuickSort,Reverse,3000,181.901,30265,5
StringMergeSort,Reverse,3000,2362.85,75035,5
MSDRadixSort,Reverse,3000,951.303,0,5
MSDRadixSort+QS,Reverse,3000,365.666,13111,5
StringQuickSort,NearlySorted,3000,216.333,31811,5
StringMergeSort,NearlySorted,3000,2372.32,76252,5
MSDRadixSort,NearlySorted,3000,866.727,0,5
MSDRadixSort+QS,NearlySorted,3000,370.725,13953,5
StringQuickSort,Prefix,3000,589.892,185721,5
StringMergeSort,Prefix,3000,5155.35,1665386,5
MSDRadixSort,Prefix,3000,4652.97,0,5
MSDRadixSort+QS,Prefix,3000,4222.7,16217,5
