Algorithm,ArrayType,Size,AvgTime(us),AvgComparisons,Iterations
MSDRadixSort,NearlySorted,500,148.014,0,5
MSDRadixSort+QS,NearlySorted,500,57.2222,2077,5
StringQuickSort,Prefix,500,83.6232,29475,5
StringMergeSort,Prefix,500,660.689,207337,5
MSDRadixSort,Prefix,500,724.707,0,5
MSDRadixSort+QS,Prefix,500,665.471,1323,5
QuickSort,Random,600,56.034,7625,5
MergeSort,Random,600,366.743,6121,5
QuickSort,Reverse,600,29.9494,7304,5
MergeSort,Reverse,600,332.098,4472,5
QuickSort,NearlySorted,600,32.31,7720,5
MergeSort,NearlySorted,600,337.363,6525,5
QuickSort,Prefix,600,143.821,310346,5
MergeSort,Prefix,600,520.214,245051,5
StringQuickSort,Random,600,47.8146,5362,5
StringMergeSort,Random,600,417.944,10017,5
MSDRadixSort,Random,600,154.745,0,5
MSDRadixSort+QS,Random,600,67.363,1798,5
StringQuickSort,Reverse,600,30.326,4935,5
StringMergeSort,Reverse,600,398.276,11823,5
MSDRadixSort,Reverse,600,175.383,0,5
MSDRadixSort+QS,Reverse,600,68.2184,2618,5
StringQuickSort,NearlySorted,600,32.1214,4843,5
StringMergeSort,NearlySorted,600,399.415,11690,5
MSDRadixSort,NearlySorted,600,176.918,0,5
MSDRadixSort+QS,NearlySorted,600,72.3182,2452,5
StringQuickSort,Prefix,600,116.666,35836,5
StringMergeSort,Prefix,600,843.566,258805,5
MSDRadixSort,Prefix,600,876.977,0,5
MSDRadixSort+QS,Prefix,600,786.941,1778,5
QuickSort,Random,700,64.353,9080,5
MergeSort,Random,700,430.8,7456,5
QuickSort,Reverse,700,37.4714,8820,5
MergeSort,Reverse,700,464.044,5262,5
QuickSort,NearlySorted,700,42.8374,9575,5
MergeSort,NearlySorted,700,401.44,7876,5
QuickSort,Prefix,700,175.956,367606,5
MergeSort,Prefix,700,525.624,294897,5
StringQuickSort,Random,700,62.7864,7854,5
StringMergeSort,Random,700,500.369,12151,5
MSDRadixSort,Random,700,178.228,0,5
MSDRadixSort+QS,Random,700,80.9122,2186,5
StringQuickSort,Reverse,700,34.4598,5621,5
StringMergeSort,Reverse,700,475.127,14221,5
MSDRadixSort,Reverse,700,211.714,0,5
MSDRadixSort+QS,Reverse,700,79.251,3038,5
StringQuickSort,NearlySorted,700,39.2528,5871,5
StringMergeSort,NearlySorted,700,548.013,14116,5
MSDRadixSort,NearlySorted,700,212.654,0,5
MSDRadixSort+QS,NearlySorted,700,82.1882,2931,5
StringQuickSort,Prefix,700,117.544,41523,5
StringMergeSort,Prefix,700,983.541,310959,5
MSDRadixSort,Prefix,700,1000.65,0,5
MSDRadixSort+QS,Prefix,700,1376.98,2172,5
QuickSort,Random,800,89.0448,10274,5
MergeSort,Random,800,547.515,8836,5
QuickSort,Reverse,800,43.2222,10140,5
MergeSort,Reverse,800,468.664,6097,5
QuickSort,NearlySorted,800,46.7246,10847,5
MergeSort,NearlySorted,800,473.993,9013,5
QuickSort,Prefix,800,219.461,464574,5
MergeSort,Prefix,800,628.232,345772,5
StringQuickSort,Random,800,71.6628,8642,5
StringMergeSort,Random,800,573.028,14335,5
MSDRadixSort,Random,800,194.32,0,5
MSDRadixSort+QS,Random,800,93.816,2687,5
StringQuickSort,Reverse,800,40.7074,6633,5
StringMergeSort,Reverse,800,522.106,16573,5
MSDRadixSort,Reverse,800,239.462,0,5
MSDRadixSort+QS,Reverse,800,90.4492,3475,5
StringQuickSort,NearlySorted,800,49.1626,6914,5
StringMergeSort,NearlySorted,800,542.277,16378,5
MSDRadixSort,NearlySorted,800,236.829,0,5
MSDRadixSort+QS,NearlySorted,800,93.5734,3363,5
StringQuickSort,Prefix,800,139.911,47946,5
StringMergeSort,Prefix,800,1114.33,363102,5
MSDRadixSort,Prefix,800,1154.35,0,5
MSDRadixSort+QS,Prefix,800,1082.16,2590,5
QuickSort,Random,900,107.276,12509,5
MergeSort,Random,900,606.019,10215,5
QuickSort,Reverse,900,50.0846,11586,5
MergeSort,Reverse,900,524.278,7035,5
QuickSort,NearlySorted,900,51.4594,11728,5
MergeSort,NearlySorted,900,538.374,10367,5
QuickSort,Prefix,900,253.215,537817,5
MergeSort,Prefix,900,726.008,396674,5
StringQuickSort,Random,900,80.6856,9859,5
StringMergeSort,Random,900,641.297,16507,5
MSDRadixSort,Random,900,227.185,0,5
MSDRadixSort+QS,Random,900,106.894,3202,5
StringQuickSort,Reverse,900,47.0312,7634,5
StringMergeSort,Reverse,900,589.138,19033,5
MSDRadixSort,Reverse,900,270.898,0,5
MSDRadixSort+QS,Reverse,900,99.9134,3938,5
StringQuickSort,NearlySorted,900,55.2244,7847,5
StringMergeSort,NearlySorted,900,624.474,18798,5
MSDRadixSort,NearlySorted,900,272.133,0,5
MSDRadixSort+QS,NearlySorted,900,108.249,3766,5
StringQuickSort,Prefix,900,158.45,54301,5
StringMergeSort,Prefix,900,1294.88,415289,5
MSDRadixSort,Prefix,900,1634.87,0,5
MSDRadixSort+QS,Prefix,900,1221.4,3197,5
QuickSort,Random,1000,130.171,14839,5
MergeSort,Random,1000,688.474,11687,5
QuickSort,Reverse,1000,55.1222,12995,5
MergeSort,Reverse,1000,591.861,8017,5
QuickSort,NearlySorted,1000,62.656,14000,5
MergeSort,NearlySorted,1000,603.877,11570,5
QuickSort,Prefix,1000,282.518,588134,5
MergeSort,Prefix,1000,804.589,447718,5
StringQuickSort,Random,1000,91.5458,10424,5
StringMergeSort,Random,1000,725.557,18776,5
MSDRadixSort,Random,1000,244.174,0,5
MSDRadixSort+QS,Random,1000,119.986,3695,5
StringQuickSort,Reverse,1000,53.223,8490,5
StringMergeSort,Reverse,1000,649.867,21403,5
MSDRadixSort,Reverse,1000,303.374,0,5
MSDRadixSort+QS,Reverse,1000,111.366,4384,5
StringQuickSort,NearlySorted,1000,61.0154,8800,5
StringMergeSort,NearlySorted,1000,682.894,21110,5
MSDRadixSort,NearlySorted,1000,295.015,0,5
MSDRadixSort+QS,NearlySorted,1000,119.035,4231,5
