N Area_Wide Area_Narrow Error_Wide Error_Narrow
69100 0.939694 0.948545 0.004823 0.004028
69600 0.945204 0.943179 0.000686 0.001338
70100 0.932375 0.945778 0.012142 0.001261
70600 0.950508 0.943649 0.005991 0.000868
71100 0.934892 0.942765 0.009625 0.001753
71600 0.954694 0.941591 0.010177 0.002926
72100 0.931284 0.945806 0.013233 0.001289
72600 0.950428 0.942942 0.005911 0.001575
73100 0.928317 0.941732 0.016200 0.002785
73600 0.948569 0.945704 0.004052 0.001187
74100 0.947257 0.945581 0.002740 0.001063
74600 0.943569 0.945381 0.000949 0.000864
75100 0.942439 0.946297 0.002078 0.001779
75600 0.934894 0.939619 0.009623 0.004898
76100 0.952482 0.944099 0.007965 0.000418
76600 0.940047 0.949479 0.004470 0.004962
77100 0.946177 0.944293 0.001659 0.000225
77600 0.958621 0.947412 0.014104 0.002895
78100 0.940795 0.949017 0.003722 0.004500
78600 0.960564 0.949081 0.016046 0.004564
79100 0.933919 0.944138 0.010598 0.000380
79600 0.929175 0.945154 0.015342 0.000637
80100 0.937001 0.942364 0.007516 0.002153
80600 0.948916 0.946702 0.004399 0.002185
81100 0.935725 0.943617 0.008792 0.000900
81600 0.930842 0.945759 0.013675 0.001242
82100 0.938589 0.942735 0.005928 0.001782
82600 0.963059 0.945937 0.018542 0.001420
83100 0.963115 0.944942 0.018598 0.000424
83600 0.933736 0.945336 0.010781 0.000819
84100 0.955911 0.939835 0.011394 0.004682
84600 0.939002 0.943779 0.005516 0.000738
85100 0.956688 0.944985 0.012170 0.000468
85600 0.947738 0.940021 0.003221 0.004497
86100 0.962978 0.945834 0.018461 0.001317
86600 0.936450 0.947656 0.008067 0.003139
87100 0.959669 0.945672 0.015151 0.001154
87600 0.928705 0.942822 0.015812 0.001695
88100 0.931318 0.941525 0.013199 0.002993
88600 0.938942 0.943801 0.005575 0.000716
89100 0.943807 0.943952 0.000710 0.000566
89600 0.942305 0.942252 0.002212 0.002265
90100 0.948199 0.944487 0.003682 0.000031
90600 0.941323 0.939894 0.003194 0.004623
91100 0.950752 0.944504 0.006235 0.000013
91600 0.957695 0.944945 0.013177 0.000428
92100 0.929440 0.947570 0.015077 0.003053
92600 0.942209 0.949638 0.002308 0.005121
93100 0.927557 0.949101 0.016961 0.004584
93600 0.947620 0.944662 0.003103 0.000144
94100 0.941636 0.945197 0.002881 0.000680
94600 0.957532 0.943124 0.013015 0.001393
95100 0.947176 0.944752 0.002659 0.000235
95600 0.940769 0.948623 0.003748 0.004105
96100 0.920180 0.945650 0.024337 0.001133
96600 0.948492 0.944273 0.003975 0.000244
97100 0.946674 0.951557 0.002157 0.007040
97600 0.941011 0.944321 0.003506 0.000196
98100 0.946127 0.945306 0.001610 0.000789
98600 0.953405 0.943697 0.008888 0.000821
99100 0.923263 0.944457 0.021254 0.000060
99600 0.940047 0.946482 0.004470 0.001965
